Header,Emoji,Description,Requirements,Tasks,Pluses,Hashtags,Link,Raw text
Backend Developer in Python or Go in Search,🔎,"Our team's primary goal is to make the internet safer for Yandex users. We combat search spam, unwanted extensions, and annoying ads, and we search for malicious websites.","• know Python or Go or are ready to switch to them
• ​​have written and maintained code from start to finish (from architecture development to monitoring) and want to do this","• develop a distributed system with hundreds of servers and gigabytes of processed data per second
• write clear, beautiful, and maintainable code
• develop metrics and algorithms","• developed for Linux
• worked in security
• have DevOps experience
• are familiar with JavaScript",Python backend search,https://ya.cc/t/hn1tPmmMgTHSk,"Python or Go Backend Developer at Search🔎

Our team's main goal is to make the internet safer for Yandex users. We combat search spam, unwanted extensions, and annoying ads, and we search for malicious websites.

We expect you to:
• Know Python or Go or are ready to switch to them
• ​​Have written and maintained code from start to finish (from architecture development to monitoring) and are passionate about this

What you'll need:
• Develop a distributed system with hundreds of servers and gigabytes of processed data per second
• Write clear, beautiful, and maintainable code
• Develop metrics and algorithms

It's a plus if you:
• Have developed for Linux
• Worked in security
• Have DevOps experience
• Are familiar with JavaScript

https://ya.cc/t/hn1tPmmMgTHSk

#search #backend #python"
Interface Developer for the Wiki team,🌅,"Wiki is the main knowledge base for Yandex employees, a source of documentation, and an external service for organizations. Wiki's core is a formatter that recognizes Markdown and Wiki markup and generates HTML. If you're skilled at designing user-friendly, functional, and fast interfaces, this job is for you.","• Proficient in TypeScript and JavaScript
• Experience with React and Node.js","• actively participate in development
• make suggestions for technical and product improvements to services and test them in practice","• wrote unit tests
• are familiar with BEM methodology, are proficient in Unix Shell and scripting languages
• profiled applications",js cloud senior frontend,https://ya.cc/t/H4KT8z55fnvm8,"Interface Developer for the Wiki Team 🌅

Wiki is the main knowledge base for Yandex employees, a source of documentation, and an external service for organizations. The Wiki core is a formatter that recognizes Markdown and Wiki markup and generates HTML. If you know how to design user-friendly, functional, and fast interfaces, this job is for you.

We expect you to:
• Proficient in TypeScript and JavaScript
• Experience with React and Node.js

What you'll need to do:
• Actively participate in development
• Make suggestions for technical and product improvements to services and test them in practice

It would be a plus if you:
• Have written unit tests
• Are familiar with the BEM methodology, are proficient in Unix Shell and scripting languages
• Have profiled applications

https://ya.cc/t/H4KT8z55fnvm8

#frontend #js #cloud #senior"
C++ Developer for the Market Recommendations Team,🛍,"We develop algorithms and infrastructure for generating personalized product recommendations for Market customers. We use mathematical statistics methods and machine learning technologies. If you're interested in both product and infrastructure tasks, are a C++ developer, and have experience working with recommendation systems, this is the job for you.","• have worked in a similar position for the past year
• have built fault-tolerant systems
• have a good knowledge of C++, Java, or C# and are willing to transition to C++
• are interested in mathematical statistics, ML, and constraint problem solving","• Create algorithms and infrastructure for selecting products of interest to users
• Improve product ranking algorithms
• Solve infrastructure problems
• Implement new products","• created systems using ML
• know Python
• developed for Unix/Linux",CPP Market backend Yekaterinburg,https://ya.cc/t/dJKea3YGdJDox,"C++ Developer for the Market Recommendations Team 🛍

We work on algorithms and infrastructure for generating personalized product recommendations for Market customers. We use mathematical statistics methods and machine learning technologies. If you're interested in both product and infrastructure tasks, are a C++ developer, and have experience working with recommendation systems, this is the job for you.

We expect you to:
• have worked in a similar position for the past year
• have built fault-tolerant systems
• have a good knowledge of C++, Java, or C# and are willing to transition to C++
• be interested in mathematical statistics, ML, and solving constraint-based problems

What you need to do:
• create algorithms and infrastructure for selecting products that are relevant to users
• improve product ranking algorithms
• solve infrastructure problems
• implement new products

It would be a plus if you:
• have built systems using ML
• know Python
• have developed for Unix/Linux

https://ya.cc/t/dJKea3YGdJDox

#backend #CPP #market #yekaterinburg"
Android App Developer in Music,🎻,We're building a streaming app and music SDK that brings music to Yandex apps. Join us!,"• Know Java and Kotlin
• Want to both write code and support the development infrastructure
• Are willing to explore problems rather than follow a template","• Give users the best experience: Everything should launch as quickly as possible, sound as good as possible, and be as enjoyable as possible.
• Improve development: There's always something to automate, optimize, or refactor.
• Maintain stability: It's important to maintain good crash-free and ANR-free rates, and also improve performance metrics.","• worked with audio or video players
• automated release and other processes
• wrote UI tests",Music backend mobile Android Java,https://ya.cc/t/YV7FyoIhdNHBU,"Android App Developer at Music🎻

We're creating a streaming app and music SDK that brings music to Yandex apps. Join us!

We expect you to:
• Know Java and Kotlin
• Want to both write code and maintain development infrastructure
• Be willing to explore challenges rather than follow a template

What you need to do:
• Give users the best experience: Everything should launch as quickly as possible, sound as good as possible, and be as enjoyable as possible
• Improve development: There's always room for automation, optimization, or refactoring
• Maintain stability: Maintain good crash-free and ANR-free performance metrics, and also improve performance metrics

It's a plus if you:
• Worked with audio or video players
• Automated release and other processes
• Wrote UI tests

https://ya.cc/t/YV7FyoIhdNHBU

#music #backend #mobile #android #java"
Virtual Machine Service Developer at Yandex.Cloud,💭,"All Yandex.Cloud services are powered by our virtual machines. We ensure the operational integrity of VMs in the cloud. We handle heavy workloads and have high standards for quality, security, and fault tolerance. This opens up opportunities for professional growth, even for experienced specialists.","• built fault-tolerant services
• developed for Linux or Unix
• worked with relational databases (PostgreSQL, MySQL, MS SQL)","• Implement an API that interacts with other IaaS components
• Efficiently distribute cluster resources for optimal VM placement
• Work with the hypervisor: deploy VMs on hardware, provide them with resources
• Use migration to ensure that users' VMs don't notice scheduled maintenance or hardware failures","• wrote in Go, C++ or Python",cloud backend Linux,https://ya.cc/t/Mj-Vh-CAdeuRe,"Virtual Machine Service Developer at Yandex.Cloud💭

All Yandex.Cloud services are powered by our virtual machines. We ensure the operational integrity of VMs in the cloud. We have a heavy workload and high requirements for quality, security, and fault tolerance. This opens up opportunities for professional growth, even for experienced specialists.

We expect you to:
• build fault-tolerant services
• develop for Linux or Unix
• work with relational databases (PostgreSQL, MySQL, MS SQL)

What you need to do:
• implement an API that interacts with other IaaS components
• efficiently allocate cluster resources for optimal VM placement
• work with a hypervisor: deploy VMs on hardware and provision them with resources
• use migration to ensure that users' VMs don't notice maintenance and hardware failures

It would be a plus if you:
• have written in Go, C++, or Python

https://ya.cc/t/Mj-Vh-CAdeuRe

#cloud #backend #linux"
Analyst (data engineer) at Lavka,🥫,"Yandex.Lavka is a fast grocery delivery service. We're building a team to develop for DWH. We're still in the early stages, so you'll have the opportunity to influence the data and process architecture while leveraging the experience of Yandex's mature services. We use Python, YT (Yandex Hadoop), JupyterHub, Git, Tableau, and DataLens.","• built and operated ETL processes
• optimized performance in terms of calculation algorithms and database interactions, including NoSQL
• developed full-cycle reporting: from data profiling to a ready-made reporting process (for example, in BI)",• perform tasks related to development for DWH,"• Monitored data quality
• Tested calculation algorithms
• Worked with BI systems
• Organized data pipelines in heterogeneous environments with various DBMSs and services",analyst's shop,https://ya.cc/t/1xjPtgQXdexqR,"Analyst (Data Engineer) at Lavka🥫

Yandex.Lavka is a fast grocery delivery service. We're building a team to develop for DWH. We're still in the early stages, so you'll have the opportunity to influence the data and process architecture while leveraging the experience of Yandex's mature services. We use Python, YT (Yandex Hadoop), JupyterHub, Git, Tableau, and DataLens.

We expect you to:
• build and operate ETL processes
• optimize performance for calculation algorithms and database interactions, including NoSQL
• develop full-cycle reporting: from data profiling to a complete reporting process (e.g., in BI)

What you'll need to do:
• perform tasks related to DWH development

It will be a plus if you:
• monitored data quality
• tested calculation algorithms
• worked with BI systems
• organized data pipelines in heterogeneous environments with various DBMSs and services

https://ya.cc/t/1xjPtgQXdexqR

#shop #analytics"
Backend Developer at Alice,📻,"Alice is Yandex's voice assistant, the entry point for millions of mobile apps and smart devices that use voice technology. The service is fundamentally different from classic web apps: it requires streaming audio data.","• Excellent knowledge of C++
• Good understanding of Linux systems, open-minded about daemons
• Understanding how TCP, HTTP, and WebSockets work, familiar with tcpdump
• Can read technical texts in English","• develop the backend for voice technologies and Alice
• solve product issues related to service development
• improve component performance","• familiar with Python, SQL, and have worked with relational databases
• worked with Yandex infrastructure (YT, YQL) and Yandex Database
• can read logs",Alice backend,https://ya.cc/t/QO9VsUhMeXGM2,"Backend Developer at Alice📻

Alice is Yandex's voice assistant, the entry point for millions of mobile apps and smart devices that use voice technology. The service is fundamentally different from classic web apps: it requires streaming audio data processing.

We expect you to:
• have excellent knowledge of C++
• have a good understanding of Linux systems and an open mind about daemons
• understand how TCP, HTTP, and WebSocket work, and are familiar with tcpdump
• be able to read technical texts in English

What you need to do:
• develop the backend for voice technologies and Alice
• solve product problems related to service development
• improve component performance

It would be a plus if you:
• have knowledge of Python, SQL, and have worked with relational databases
• have worked with Yandex infrastructure (YT, YQL) and Yandex Database
• can read logs

https://ya.cc/t/QO9VsUhMeXGM2

#alisa #backend"
Python Developer at Lavka,🍰,Yandex.Lavka is a fast grocery delivery service. We're constantly growing and looking for developers.,"• More than three years of Python development
• Understand the value of tests
• Know Django
• Worked with *nix development environments, Docker, and version control systems (Git, Mercurial)",• create an international ERP system based on the Odoo Framework that automates the processes of Lavka’s international business,"• worked with PostgreSQL and other databases
• familiar with the Odoo Framework",backend shop,https://ya.cc/t/0iHk9S7CeCXzn,"Python Developer at Lavka🍰

Yandex.Lavka is a fast grocery delivery service. We are constantly growing and are looking for developers.

We expect you to:
• have over three years of experience developing in Python
• understand the value of tests
• know Django
• have worked with *nix development environments, Docker, and version control systems (Git, Mercurial)

What you need to do:
• build an international ERP system based on the Odoo Framework that automates Lavka's international business processes

It will be a plus if you:
• have worked with PostgreSQL and other databases
• are familiar with the Odoo Framework

https://ya.cc/t/0iHk9S7CeCXzn

#lavka #backend"
Developer at Pictures,🏞,Join the team working on infrastructure and product development at the Pictures robot.,"• know how to write in one of the server-side programming languages
• have a good knowledge of algorithms and data structures","• Develop a search technology stack and build custom real-time indexers (runtime infrastructure, scalability, low-level performance optimization)
• Create a content system for index construction using MapReduce
• Develop ranking factors (analysis of HTML pages, text, image content)
• Improve the quality and completeness of the search database","• know C++
• have worked with big data
• are mathematically prepared",pictures,https://ya.cc/t/cpiyrG2geCYeM,"Developer at Pictures🏞

Join the team working on infrastructure and product tasks at Pictures.

We expect you to:
• Proficient in one of the server-side programming languages
• Strong knowledge of algorithms and data structures

What you'll need to do:
• Develop a search technology stack and build custom real-time indexers (runtime infrastructure, scalability, low-level performance optimization)
• Create a content system for index construction using MapReduce
• Develop ranking factors (analysis of HTML pages, text, image content)
• Improve the quality and completeness of the search database

It would be a plus if you:
• Know C++
• Have worked with big data
• Have mathematical training

https://ya.cc/t/cpiyrG2geCYeM

#pictures"
Backend developer at Yandex DataLens,🏆,"Yandex DataLens is the best Russian scalable cloud data visualization solution, according to the Gromov BI Circle 2021 survey. The service is visited by over a quarter of a million unique users daily. We are seeking experienced Python developers with knowledge of VCS and Docker.","• Developed in Python using Django, Flask, and Tornado
• Worked with relational and non-relational databases and popular ORM libraries
• Know VCS and Docker","• create integration layers with new data sources, develop existing connections
• perform data post-processing at an additional level of computing
• ensure security and scalability under conditions of exponential load growth",• worked with RabbitMQ or other message buses,Python Cloud backend in Nizhny Novgorod,https://ya.cc/t/rcLwS5bwhD6bD,"Yandex DataLens Backend Developer🏆

Yandex DataLens is the best Russian scalable cloud data visualization solution according to the Gromov BI Circle 2021 survey. The service is visited by over a quarter of a million unique users daily. We are seeking experienced Python developers with knowledge of VCS and Docker.

We expect you to:
• Develop in Python using Django, Flask, and Tornado
• Work with relational and non-relational databases, popular ORM libraries
• Know VCS and Docker

What you'll need to do:
• Create integration layers with new data sources, develop existing connections
• Perform data post-processing at an additional computational level
• Ensure security and scalability under demanding load

It would be a plus if you:
• Worked with RabbitMQ or other message buses

https://ya.cc/t/rcLwS5bwhD6bD

#backend #python #cloud #nizhnynovgorod"
C++ Developer at Market,🎁,"Yandex.Market is a service for selecting and purchasing products. Every month, more than 20 million people browse products from over 20,000 stores on the Market. The service boasts a massive product database, up-to-date pricing and availability information. Market developers solve problems related to processing and analyzing large volumes of data and developing product searches.
When developing our software, we prioritize performance and reliability: Yandex.Market is open to users seven days a week, 365 days a year.","• knowledge of classical algorithms and data structures
• proficient in C++ and STL
• in-depth knowledge of operating systems
• worked in a similar position within the last year","• develop search programs and programs for constructing search indexes, robot programs and programs for distributed processing of large volumes of data","• Experience with multithreaded and network programming
• Familiar with team development: used version control systems and bug trackers
• Wrote code in Python
• Designed and developed high-load services",CPP backend,https://ya.cc/t/KR3l-viddMj6L,"C++ Developer at Yandex.Market 🎁

Yandex.Market is a service for selecting and purchasing products. Every month, more than 20 million people browse products from over 20,000 stores on the Market. The service boasts a huge product database, up-to-date information on prices and availability. Market developers solve problems related to processing and analyzing large volumes of data and developing product searches.
When developing our software, we prioritize performance and reliability: Yandex.Market is open to users seven days a week, 365 days a year.

We expect you to:
• have knowledge of classical algorithms and data structures
• be proficient in C++ and STL
• have a thorough understanding of operating systems
• have worked in a similar position for the past year

What you need to do:
• develop search engines and search index builders, robots, and distributed processing programs for large volumes of data

It would be a plus if you:
• have experience with multithreaded and network programming
• are familiar with team development: have used version control systems and bug trackers
• have written code in Python
• have designed and developed high-load services

https://ya.cc/t/KR3l-viddMj6L

#backend #CPP"
Analyst-developer,🧭,"Yandex advertising products and related subsystems are actively developing. We're looking for a developer to help automate our client database management. You'll be faced with complex and interesting challenges, working with cutting-edge technologies, and, of course, lots of data.","• have a good grasp of Python at the application level
• have a good knowledge of one of the SQL dialects and have worked with databases","• Write high-quality Python code and develop application architecture
• Automate data delivery from various sources
• Analyze the customer base and develop approaches to finding complex and implicit relationships
• Develop technical monitoring and automated testing","• know how to design business application architecture
• know approaches to building corporate data warehouses",SQL analytics advertising,https://ya.cc/t/7_eb52A-eCWtw,"Analyst-Developer 🧭

Yandex advertising products and related subsystems are actively developing. We are looking for a developer to help automate our client database management. You will face complex and interesting challenges, working with cutting-edge technologies, and, of course, a lot of data.

We expect you to:
• Proficient in Python at the application level
• Well-versed in one of the SQL dialects and have worked with databases

What you'll need to do:
• Write high-quality Python code, develop application architecture
• Automate data delivery from various sources
• Analyze the client database and develop approaches to finding complex and implicit relationships
• Develop technical monitoring and automated tests

It will be a plus if you:
• Have experience designing business application architecture
• Knowledge of approaches to building corporate data warehouses

https://ya.cc/t/7_eb52A-eCWtw

#advertising #analytics #SQL"
Oracle Developer in Fintech Services,💵,Fintech is a young and promising industry. We create payment services and tools for personal finance management. We have a startup atmosphere and a dynamic team.,"• More than three years of Oracle PL/SQL development experience
• Ability to understand the code and architecture of large, complex systems
• Familiar with build and version control tools, code review
• Familiar with Java and web application architecture","• Develop and maintain internal services for the automated banking system
• Responsible for integration with external systems
• Implement technical solutions for the Oracle DBMS using PL/SQL","• know the technical architecture of OEBS R12
• are familiar with front-end technologies",fintech oracle,https://ya.cc/t/ASNg0Ib4eXH8i,"Oracle Developer in Fintech Services💵

Fintech is a young and promising industry. We create payment services and personal finance management tools. We have a startup atmosphere and a dynamic team.

We expect you to:
• Have more than three years of experience developing with Oracle PL/SQL
• Have a good understanding of the code and architecture of large, complex systems
• Be familiar with build and version control tools, and code review
• Be familiar with Java and web application architecture

What you'll be doing:
• Develop and maintain internal services for the automated banking system
• Be responsible for integration with external systems
• Implement technical solutions for the Oracle DBMS using PL/SQL

It would be a plus if you:
• Know the technical architecture of OEBS R12
• Are familiar with front-end technologies

https://ya.cc/t/ASNg0Ib4eXH8i

#fintech #oracle"
Oracle Developer in Fintech Services,💵,Fintech is a young and promising industry. We create payment services and tools for personal finance management. We have a startup atmosphere and a dynamic team.,"• More than three years of Oracle PL/SQL development experience
• Ability to understand the code and architecture of large, complex systems
• Familiar with build and version control tools, code review
• Familiar with Java and web application architecture","• Develop and maintain internal services for the automated banking system
• Responsible for integration with external systems
• Implement technical solutions for the Oracle DBMS using PL/SQL","• know the technical architecture of OEBS R12
• are familiar with front-end technologies",fintech oracle,https://ya.cc/t/ASNg0Ib4eXH8i,"Oracle Developer in Fintech Services💵

Fintech is a young and promising industry. We create payment services and personal finance management tools. We have a startup atmosphere and a dynamic team.

We expect you to:
• Have more than three years of experience developing with Oracle PL/SQL
• Have a good understanding of the code and architecture of large, complex systems
• Be familiar with build and version control tools, and code review
• Be familiar with Java and web application architecture

What you'll be doing:
• Develop and maintain internal services for the automated banking system
• Be responsible for integration with external systems
• Implement technical solutions for the Oracle DBMS using PL/SQL

It would be a plus if you:
• Know the technical architecture of OEBS R12
• Are familiar with front-end technologies

https://ya.cc/t/ASNg0Ib4eXH8i

#fintech #oracle"
C++ and Python Developer at Crypto,💻,"Crypta is an internal Yandex service that builds anonymized user profiles based on their online behavior. Yandex services use our data to personalize recommendations, including advertising.","• Ready to write in C++ and Python
• Understand the key aspects of building fault-tolerant distributed systems","• develop user data processing pipelines
• develop real-time services that enable the collection and exchange of user data
• design distributed, fault-tolerant systems
• plan and conduct experiments to improve personalization","• worked with SQL and NoSQL databases
• worked with infrastructure based on Hadoop, Spark, or their equivalents
• know Java or Go
• worked with big data",CPP Python backend,https://ya.cc/t/tHr7FrczeXREJ,"C++ and Python Developer at Crypta💻

Crypta is an internal Yandex service that builds anonymized user profiles based on their online behavior. Yandex services use our data to personalize recommendations, including advertising.

We expect you to:
• be able to write in C++ and Python
• understand the key aspects of building fault-tolerant distributed systems

What you need to do:
• develop user data processing pipelines
• develop real-time services that collect and share user data
• design fault-tolerant distributed systems
• plan and run experiments to improve personalization

It would be a plus if you:
• have worked with SQL and NoSQL databases
• have worked with infrastructure based on Hadoop, Spark, or similar
• know Java or Go
• have worked with big data

https://ya.cc/t/tHr7FrczeXREJ

#backend #CPP #python"
Android app developer at Drive,📱,"Our team is developing the Drive mobile app, and we're currently actively integrating Flutter into our platforms. We're looking for a specialist to work with the Android-Flutter stack.","• have been working with Android for more than 3 years
• know classic algorithms and data structures
• know how to negotiate with people","• Write Flutter code
• Analyze performance and maintain project cleanliness
• Interact with other Yandex teams","• write in Flutter
• have worked with NDK and C++
• understand Scrum and Agile principles and are ready to follow them",android flutter NDK CPP scrum agile,https://ya.cc/t/xQnHQMcvebBQ8,"Android App Developer at Drive📱

Our team is developing Drive's mobile app, and we are currently actively integrating Flutter into our platforms. We are looking for a specialist to work with the Android stack – Flutter.

We expect you to:
• Have been working with Android for over 3 years
• Know classic algorithms and data structures
• Have good communication skills

What you'll need to do:
• Write code in Flutter
• Analyze performance, maintain project cleanliness
• Collaborate with other Yandex teams

It would be a plus if you:
• Write in Flutter
• Have worked with NDK and C++
• Understand Scrum and Agile principles and are prepared to follow them

https://ya.cc/t/xQnHQMcvebBQ8

#android #flutter #NDK #CPP #scrum #agile"
C++ and JS Developer for the VR Video Team,🎬,We're looking for a development engineer for a new project within Yandex.Media Services dedicated to virtual reality video.,"• developed applications in C++
• performed frontend development in JS","• Develop a video editor plugin for creating VR films
• Create an interface for a filming rig (VR camera)
• Design data labeling interfaces for training neural networks","• developed plugins for Adobe Premiere
• are familiar with video processing, computer graphics, or computer vision
• have experience developing with WebGL",CPP JS frontend premiere webgl,https://ya.cc/t/p6o1ybSxebBwK,"C++ and JS Developer for the VR Video Team 🎬

We're looking for a software engineer for a new project within Yandex.Media Services dedicated to VR video.

We expect you to:
• Develop applications in C++
• Have experience with frontend development in JS

What you'll need to do:
• Develop a video editor plugin for creating VR films
• Create an interface for a filming rig (VR camera)
• Design data markup interfaces for training neural networks

It would be a plus if you:
• Developed plugins for Adobe Premiere
• Are familiar with video processing, computer graphics, or computer vision
• Have experience developing in WebGL

https://ya.cc/t/p6o1ybSxebBwK

#CPP #JS #frontend #premiere #webgl"
Lead Interface Developer at Help Nearby,🏙,"Our team develops interfaces for Yandex's social projects. We work on a wide range of projects: from engaging promotional projects and builders to complex applications that interact with numerous other services. Our team is a center of expertise in adapting the company's websites for people with disabilities.
We'd love to welcome a developer who is passionate about working on social projects, leveraging the capabilities and technologies of a large company.","• worked with React, Redux, and TS libraries
• knowledge of the Node.js platform and the ES6 specification
• excellent command of JS
• good knowledge of HTML and CSS
• worked with the Git version control system","• develop web interfaces with accessibility, WAI-ARIA, and WCAG in mind
• create infrastructure
• write client-side logic in JS
• visualize data
• support existing services","• have more than two years of experience in client-side web development
• have applied accessibility
• program in Python
• are familiar with *nix
• have written integration or unit tests",JS accessibility react redux TS nodejs HTML CSS git python unix,https://ya.cc/t/8KrUMUEHefoJz,"Lead Interface Developer at ""Help Nearby"" 🏙

Our team develops interfaces for Yandex's social projects. We work on a wide variety of projects: from engaging promotional projects and builders to complex applications that interact with numerous other services. Our team is the center of expertise for adapting the company's websites for people with disabilities.
We'd love to welcome a developer who is interested in working on social projects, leveraging the capabilities and technologies of a large company.

We expect you to:
• Work with React, Redux, and TS libraries
• Know the Node.js platform and the ES6 specification
• Have excellent JS skills
• Have a good knowledge of HTML and CSS
• Have worked with the Git version control system

What you need to do:
• Develop web interfaces with accessibility, WAI-ARIA, and WCAG in mind
• Build infrastructure
• Write client-side logic in JS
• Visualize data
• Maintain existing services

It would be a plus if you:
• Have more than two years of client-side web development experience
• Have applied accessibility
• Program in Python
• Are familiar with *nix
• Have written integration or unit tests

https://ya.cc/t/8KrUMUEHefoJz

#JS #accessibility #react #redux #TS #nodejs #HTML #CSS #git #python #unix"
Python Developer in Ad Mediation,🎳,"Want to understand advertising technologies, the process behind banner ads, and how to build big data processing? Join us to develop mobile app advertising and work on a mediation system that selects the best offer from multiple ad networks.","• have excellent knowledge of Python and have written in it
• have developed large projects and web services
• have worked with databases and understand their structure
• are able to work with a large code base","• Develop the backend of the partner account
• Improve the mediation system and mechanisms for connecting external systems to it
• Build data processing processes
• Create and improve integrations with partners",• know C++ or Java,backend advertising,https://ya.cc/t/SUV1Vnsqf4oKH,"Python Developer in Ad Mediation 🎳

Want to understand advertising technologies, the process behind banner ads, and build big data processing? Join us to develop mobile app advertising and work on a mediation system that selects the best offer from multiple ad networks at once.

We expect you to:
• Have an excellent knowledge of Python and have written in it
• Have developed large projects and web services
• Have worked with databases and understand their structure
• Be able to work with a large codebase

What you'll need to do:
• Develop the backend of the affiliate account
• Improve the mediation system and mechanisms for connecting external systems to it
• Build data processing processes
• Create and improve integrations with partners

It would be a plus if you:
• Know C++ or Java

https://ya.cc/t/SUV1Vnsqf4oKH

#advertising #backend"
Flutter developer at Yandex.Pro,🚕,Yandex.Pro is a platform for drivers and couriers. It allows you to accept orders and manage your income. We are developing a solution that should work equally well on both iOS and Android. We use a single codebase in Dart with the Flutter framework. We are looking for a great engineer.,"• have developed Flutter apps or want to learn how
• have done commercial mobile development for iOS or Android, or front-end development
• have used Provider/Riverpod, BLoC, Redux, or MobX patterns for state management
• have a good understanding of the reactive paradigm and have debugged such code","• develop custom user interfaces
• solve complex problems at the intersection of cross-platform and iOS/Android
• solve geolocation issues (GPS signal quality, interference in the Kremlin area, noise, and signal unavailability)
• meticulously optimize app power consumption","• Have worked on commercial Flutter app development
• Are familiar with Swift or Kotlin
• Have experience with native development",mobile ios android flutter,https://ya.cc/t/5H7bnzVtf4ptP,"Flutter Developer at Yandex.Pro 🚕

Yandex.Pro is a platform for drivers and couriers. It allows them to accept orders and manage their income. We're developing a solution that works equally well on both iOS and Android. We're using a single Dart codebase with the Flutter framework. We're looking for a great engineer.

We expect you to:
• have developed Flutter apps or want to learn how
• have worked in commercial mobile development for iOS or Android, or in front-end development
• have used Provider/Riverpod, BLoC, Redux, or MobX patterns for state management
• have a good understanding of the reactive paradigm and have debugged such code

What you'll need to do:
• develop custom user interfaces
• solve complex problems at the intersection of cross-platform and iOS/Android
• solve geolocation issues (GPS signal quality, interference in the Kremlin area, noise, and signal unavailability)
• fine-tune app power consumption

It would be a plus if you:
• have worked in commercial Flutter app development
• are familiar with Swift or Kotlin
• have experience with native development

https://ya.cc/t/5H7bnzVtf4ptP

#mobile #ios #android #flutter"
Interface Developer at Mail,📬,"At Yandex.Mail, we're constantly working on quality and performance, always experimenting with new technologies. We use TypeScript, Node.js, React, Redux, MobX, webpack, SSR, Service Workers, and IndexedDB.","• Write JavaScript
• Know HTML and CSS, and how they display in browsers
• Know the principles of HTTP
• Know how to work on the *nix command line
• Have experience with Git or SVN version control systems","• Design service and product architecture
• Develop complex visual components
• Responsible for integration with native iOS and Android apps (we have experience with WebView and React Native)
• Deploy apps ourselves (we are developing a DevOps culture)","• developed in TypeScript
• worked with Grunt, Gulp, webpack, Rollup, or any other build system
• developed in Node.js
• wrote automated tests. Little experience is no problem: get in touch and let's talk.",mail frontend JS HTML,https://ya.cc/t/ZDO120mMf7g7V,"Interface Developer at Yandex.Mail📬

We, the Yandex.Mail team, are constantly working on quality and performance, always experimenting with new technologies. We use TypeScript, Node.js, React, Redux, MobX, webpack, SSR, Service Workers, and IndexedDB.

We expect you to:
• write JavaScript
• know HTML and CSS, including how they display in browsers
• understand HTTP principles
• be proficient in the *nix command line
• have experience with Git or SVN version control systems

What you'll need to do:
• design service and product architecture
• create complex visual components
• be responsible for integration with native iOS and Android apps (we have experience with WebView and React Native)
• deploy apps independently (we're developing a DevOps culture)

It's a plus if you:
• have developed in TypeScript
• have worked with Grunt, Gulp, webpack, Rollup, or any other build system
• have developed in Node.js
• have written automated tests. Even if you don't have experience, don't worry: get in touch and let's talk.

https://ya.cc/t/ZDO120mMf7g7V

#mail #frontend #JS #HTML"
C++ Developer at Market,🛍,Our team develops Market experiences that help users discover something new and interesting. We analyze a variety of metrics to recommend what users need at the moment or inspire them to try something new.,"• have worked in a similar position for the past year
• have built fault-tolerant systems
• have a good knowledge of C++ or know Java or C# and are ready to transition to C++
• are interested in statistics and ML
• are passionate about solving problems with constraints","• Create algorithms and infrastructure for selecting products that are of interest to users
• Improve product ranking algorithms
• Solve infrastructure problems: from establishing data supplies to improving performance
• Implement new products","• created systems that used ML
• write in Python
• developed for *nix",CPP ML python unix,https://ya.cc/t/lp3VihQ4eX4Xt,"C++ Developer at Market🛍

Our team develops Market experiences that help users discover new and interesting things. We analyze a variety of metrics to recommend what users need right now or inspire them to try something new.

We expect you to:
• have worked in a similar position for the past year
• have built fault-tolerant systems
• have a good knowledge of C++ or know Java or C# and are willing to transition to C++
• be interested in statistics and ML
• be passionate about solving constraint-based problems

What you'll need to do:
• create algorithms and infrastructure for selecting products that are relevant to users
• improve product ranking algorithms
• solve infrastructure problems: from establishing data supply to improving performance
• implement new products

It would be a plus if you:
• have built systems that used ML
• write in Python
• have developed for *nix

https://ya.cc/t/lp3VihQ4eX4Xt

#CPP #ML #python #unix"
An iOS video player developer at Yandex.Zen,📺,"Our team develops video players used in Yandex.Zen, KinoPoisk, Yandex.Disk, Search, and other Yandex services on the web, iOS, and Android. Our players are universal libraries with a rich API and application scenarios: they can play live broadcasts and recordings, support encrypted licensed content, and balance the client-side load. Come to us if you're looking for challenging solutions you'll be proud of.","• knowledge of Swift
• development of native iOS apps
• profiling skills
• willing to actively participate in code reviews","• develop a single video player for iOS, used in many Yandex services.","• developed libraries
• worked with HLS and DASH streaming video",mobile iOS,https://ya.cc/t/j4GXZLW2fo6Hw,"Yandex Zen iOS Video Player Developer 📺

Our team develops a video player used in Yandex Zen, KinoPoisk, Yandex.Disk, Search, and other Yandex services on the web, iOS, and Android. Our players are universal libraries with a rich API and use cases: they can play live broadcasts or recordings, support encrypted licensed content, and balance the client-side load. Join us if you're looking for challenging tasks you'll be proud to solve.

We expect you to:
• Know Swift
• Have experience developing native iOS apps
• Have profiling skills
• Be willing to actively participate in code reviews

What you need to do:
• Develop a unified video player for iOS that will be used across multiple Yandex services.

It would be a plus if you:
• developed libraries
• worked with HLS and DASH streaming video

https://ya.cc/t/j4GXZLW2fo6Hw

#mobile #iOS"
